Cell	Twin	Case	Sample	index.sort	Clones
SCP.14_CD4_A01	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_A02	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_A03	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_A04	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_A05	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_A06	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_A07	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_A08	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_A09	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_A10	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_A11	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_A12	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_B01	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_B02	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_B03	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_B04	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_B05	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_B06	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_B07	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_B08	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_B09	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_B10	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_B11	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_B12	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_C01	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_C02	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_C03	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_C04	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_C05	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_C06	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_C07	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_C08	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_C09	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_C10	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_C11	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_C12	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_D01	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_D02	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_D03	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_D04	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_D05	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_D06	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_D07	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_D08	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_D09	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_D10	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_D11	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_D12	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_E01	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_E02	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_E03	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_E04	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_E05	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_E06	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_E07	SCP.14	HD	CSF	CD4Tcell	1
SCP.14_CD4_E08	SCP.14	HD	CSF	CD4	ND
SCP.14_CD4_E09	SCP.14	HD	CSF	CD4	ND
